"acc_num","st_date","cust_age","bill_city","cr_score"
362485,2014-12-02,20,"Vancouver","4"
814934,2016-07-30,58,"Edmonton","5"
82327,2016-11-06,43,"Calgary","4"
667210,2017-10-26,63,"Port Moody","5"
519493,2018-07-15,19,"Vancouver","4"
685211,2015-10-03,59,"Chilliwack","4"
282035,2018-11-29,55,"Edmonton","4"
890374,2017-04-15,20,"Vegreville","5"
692210,2017-07-11,42,"Revelstoke","5"
75259,2018-11-15,61,"Airdrie","4"
819736,2018-07-27,50,"Burnaby","4"
953748,2019-04-04,52,"Edmonton","5"
624082,2018-09-26,56,"Medicine Hat","5"
475214,2018-04-23,49,"Calgary","4"
305066,2017-09-07,47,"Airdrie","5"
799179,2019-01-22,24,"Airdrie","4"
282600,2015-08-08,46,"Calgary","4"
202108,2015-07-23,43,"Edmonton","4"
570192,2016-10-24,61,"Calgary","5"
377034,2019-06-14,33,"Brooks","4"
968763,2016-11-15,30,"Three Hills","5"
80945,2019-04-05,22,"Calgary","4"
285195,2019-04-19,67,"Duncan","4"
345526,2017-07-31,31,"Vancouver","5"
837924,2015-01-27,43,"Hinton","4"
24752,2018-01-20,25,"Red Deer","5"
612293,2014-07-30,22,"Maple Ridge","3"
417818,2018-03-03,51,"Chestermere","5"
559181,2017-05-29,55,"Edmonton","4"
857540,2015-07-29,33,"Vernon","3"
89227,2018-04-14,26,"St. Albert","4"
854631,2014-04-07,66,"Calgary","2"
589765,2019-06-05,25,"Richmond","5"
193151,2017-04-16,37,"Penticton","5"
840251,2019-06-22,43,"Medicine Hat","5"
976650,2019-06-05,20,"Okotoks","4"
81216,2014-02-09,24,"Calgary","5"
516134,2018-10-18,22,"Drayton Valley","4"
144170,2014-02-06,67,"Calgary","5"
135387,2016-12-19,67,"Calgary","4"
872158,2018-01-29,56,"Vancouver","2"
690146,2014-02-02,29,"Coquitlam","3"
841610,2018-12-22,65,"Grande Prairie","4"
649146,2017-05-15,61,"Calgary","3"
66725,2015-09-11,53,"Surrey","1"
118623,2018-01-20,48,"Surrey","3"
496114,2017-10-24,68,"Edmonton","4"
531872,2017-12-23,44,"Victoria","5"
583830,2016-05-15,68,"Edmonton","4"
741241,2018-01-31,62,"Beaumont","4"
741415,2016-04-29,56,"Burnaby","4"
475797,2018-02-20,54,"Edmonton","4"
135621,2017-09-07,30,"Calgary","4"
555091,2018-01-26,27,"Abbotsford","5"
301112,2014-11-13,61,"Edmonton","5"
258391,2016-09-16,41,"Edmonton","4"
767069,2015-03-21,37,"Chilliwack","5"
19028,2016-02-16,57,"Victoria","4"
436786,2015-09-16,47,"Vancouver","4"
96133,2018-09-22,28,"Calgary","4"
802776,2015-02-18,63,"Abbotsford","4"
116206,2017-02-03,63,"Surrey","5"
348088,2017-04-13,38,"Powell River","5"
93217,2018-08-26,61,"Vancouver","3"
80538,2017-06-15,43,"Leduc","3"
661733,2016-08-14,62,"Calgary","5"
568482,2018-08-21,37,"Abbotsford","4"
354609,2015-05-15,29,"Nanaimo","5"
177809,2016-05-18,57,"Edmonton","2"
14851,2015-07-02,26,"Richmond","5"
501020,2019-03-02,35,"Surrey","3"
654374,2019-07-16,48,"New Westminster","4"
758708,2017-12-26,54,"Edmonton","4"
31847,2015-07-11,55,"Kamloops","5"
328320,2016-06-08,69,"Edmonton","4"
275992,2014-02-16,25,"Coquitlam","3"
965916,2016-11-19,32,"Vancouver","5"
32670,2016-07-28,57,"Golden","5"
93283,2017-12-14,47,"Burnaby","4"
201789,2014-01-31,66,"Maple Ridge","4"
210230,2017-10-04,25,"Maple Ridge","5"
527520,2015-08-25,65,"Edmonton","4"
977649,2014-04-23,24,"Edmonton","5"
163429,2016-12-14,68,"Calmar","4"
644211,2019-01-09,50,"Calgary","5"
358808,2018-11-15,70,"Edmonton","3"
193389,2019-02-02,37,"High River","4"
507808,2019-06-04,64,"Abbotsford","4"
632886,2019-03-13,48,"Calgary","4"
300673,2017-04-23,19,"Coquitlam","5"
96225,2018-06-29,37,"Vancouver","3"
181670,2017-03-04,25,"Edson","4"
639454,2014-09-04,64,"Edmonton","4"
555247,2018-03-26,25,"Richmond","5"
415740,2018-01-09,69,"Kamloops","4"
249766,2015-02-13,64,"Edmonton","5"
404588,2016-01-24,27,"Medicine Hat","4"
755243,2018-03-01,31,"Medicine Hat","4"
200578,2016-05-07,23,"Vancouver","4"
356455,2015-07-21,59,"Campbell River","4"
474526,2016-11-23,69,"Port Moody","4"
623008,2017-06-24,22,"Abbotsford","3"
487673,2017-10-12,52,"Campbell River","4"
108490,2016-05-23,19,"Edmonton","4"
933295,2015-07-14,20,"Surrey","2"
124464,2018-12-12,51,"Burnaby","4"
680098,2018-09-30,42,"Abbotsford","5"
767921,2016-07-10,65,"Edmonton","3"
943977,2018-09-20,64,"Kelowna","4"
991341,2019-01-16,65,"Edmonton","4"
673218,2018-12-19,58,"Crossfield","4"
22005,2017-04-05,41,"Medicine Hat","5"
348384,2015-06-28,24,"Calgary","5"
494479,2018-12-24,59,"Quesnel","3"
895464,2017-08-13,46,"Okotoks","4"
911826,2015-03-30,41,"Surrey","4"
930325,2016-08-07,32,"Red Deer","3"
770333,2018-07-06,41,"Dawson Creek","5"
636460,2017-05-05,20,"Red Deer","5"
735232,2018-12-21,40,"Edmonton","3"
273074,2016-12-11,63,"Edmonton","5"
861392,2018-11-18,47,"Leduc","4"
356223,2017-09-02,22,"Qualicum Beach","5"
23773,2017-11-09,33,"Edmonton","2"
835000,2018-07-24,58,"Burnaby","4"
907896,2017-10-05,32,"Burnaby","3"
91855,2019-02-25,56,"Vancouver","4"
111608,2019-02-13,32,"Calgary","5"
633949,2016-02-05,55,"St. Albert","4"
430810,2017-07-10,31,"Edmonton","5"
343128,2019-05-26,34,"Raymond","4"
343911,2016-12-27,25,"Calgary","5"
992615,2018-10-31,30,"White Rock","5"
728266,2017-03-30,26,"Edmonton","5"
995584,2018-11-08,60,"Fort St. John","4"
455994,2017-09-12,58,"Airdrie","5"
108028,2017-05-26,44,"Vancouver","3"
580791,2018-12-07,26,"Victoria","4"
606793,2015-07-12,53,"Surrey","5"
672669,2015-07-08,25,"Cochrane","3"
21997,2018-03-11,30,"Vancouver","3"
300046,2015-07-30,46,"Coquitlam","3"
422105,2016-11-10,51,"Kamloops","3"
947863,2014-08-15,42,"Edmonton","5"
185718,2018-05-06,31,"Calgary","4"
846511,2014-08-01,46,"Calgary","3"
942601,2019-04-19,33,"St. Albert","5"
610111,2014-08-10,37,"Grande Prairie","5"
408328,2014-12-18,60,"Salmon Arm","4"
930019,2017-08-26,40,"Nanaimo","5"
377023,2014-05-29,22,"Cranbrook","5"
700674,2018-08-22,59,"Vancouver","3"
394119,2018-06-07,43,"Edmonton","4"
798673,2018-10-12,44,"Calgary","4"
155559,2016-02-13,64,"Edmonton","5"
83069,2017-10-06,61,"Calgary","3"
591054,2018-06-02,53,"Kelowna","3"
961558,2015-08-18,57,"Victoria","3"
399692,2017-11-01,70,"Edmonton","4"
616966,2019-05-25,40,"Calgary","4"
993447,2017-04-23,42,"Burnaby","5"
408010,2016-02-15,43,"Calgary","4"
680662,2018-12-14,31,"Calgary","3"
485165,2018-10-06,66,"Fernie","5"
231940,2017-06-02,66,"Port Coquitlam","3"
742868,2019-07-07,32,"Surrey","4"
341996,2017-12-26,69,"Kelowna","5"
840853,2016-11-10,60,"Calgary","4"
708647,2017-11-22,30,"Victoria","4"
446804,2017-08-02,32,"Edmonton","4"
905139,2019-05-29,46,"Coquitlam","5"
669987,2017-10-20,58,"Victoria","4"
663061,2016-07-18,42,"Calgary","4"
628168,2017-01-26,58,"Bowden","5"
403672,2015-09-26,51,"Coquitlam","5"
636270,2019-07-06,67,"Vancouver","4"
895785,2019-06-13,44,"Kelowna","2"
470542,2018-04-20,53,"Valleyview","2"
684965,2017-01-17,58,"Kamloops","5"
765803,2018-10-14,33,"Calgary","4"
948500,2015-07-16,43,"Edmonton","4"
126630,2019-07-11,43,"Vancouver","5"
352140,2017-09-05,69,"Medicine Hat","3"
255344,2015-07-01,50,"Victoria","3"
678518,2015-08-15,66,"Stavely","5"
80212,2016-12-28,39,"Medicine Hat","4"
881517,2017-06-25,21,"Calgary","5"
711401,2014-07-22,68,"Calgary","4"
562397,2019-03-20,33,"Lethbridge","4"
927918,2016-08-07,57,"Richmond","5"
858302,2018-05-06,33,"Vancouver","5"
363133,2016-05-23,65,"Vancouver","5"
798567,2016-05-20,34,"Vancouver","2"
447132,2014-02-17,22,"Surrey","5"
271592,2015-05-27,20,"Vancouver","5"
141650,2018-09-14,50,"Vancouver","4"
495743,2015-03-16,60,"Calgary","4"
334616,2014-09-13,62,"Calgary","5"
533737,2015-01-12,57,"Edmonton","3"
967672,2018-04-18,48,"Edmonton","3"
934042,2015-05-01,25,"Richmond","3"
102746,2017-06-28,58,"Coquitlam","5"
605884,2017-09-07,28,"Calgary","4"
560505,2016-09-08,23,"Lethbridge","3"
344770,2014-10-09,52,"Calgary","3"
659197,2016-04-06,33,"Calgary","4"
963245,2014-09-06,23,"Comox","4"
704071,2015-11-08,39,"Edmonton","3"
862663,2016-11-09,20,"Vancouver","4"
379,2019-04-12,30,"Burnaby","3"
769957,2016-03-09,46,"Prince George","3"
745872,2014-12-26,66,"Victoria","4"
437480,2018-09-28,69,"Surrey","5"
259273,2018-05-28,54,"Maple Ridge","4"
157108,2018-09-25,54,"Port Alberni","5"
538517,2018-07-31,22,"Cranbrook","4"
646313,2019-03-28,42,"Grande Prairie","4"
224819,2015-06-23,31,"Edmonton","5"
840218,2018-10-04,33,"Edmonton","5"
49840,2018-09-21,46,"Burnaby","5"
199466,2014-05-26,29,"Coquitlam","5"
988816,2015-12-20,43,"Nanaimo","4"
186123,2018-07-01,28,"Surrey","3"
164457,2014-03-06,66,"Vancouver","5"
246806,2015-03-15,29,"Nanaimo","4"
156123,2019-01-17,20,"Calgary","4"
977774,2015-08-24,45,"Creston","4"
921459,2018-12-02,51,"Bashaw","4"
697662,2019-03-09,25,"Beaumont","5"
54046,2017-06-01,50,"Burnaby","4"
394822,2017-06-16,47,"Edmonton","4"
454650,2017-02-05,21,"Edmonton","5"
960515,2018-09-20,45,"Calgary","5"
395811,2016-03-31,33,"Richmond","5"
144297,2017-04-02,44,"Vauxhall","5"
151917,2016-12-18,39,"Lethbridge","3"
671240,2015-05-09,50,"Barrhead","3"
57995,2016-10-16,53,"Calgary","4"
359119,2016-07-23,38,"Vancouver","4"
501124,2018-07-25,24,"Qualicum Beach","5"
730010,2015-07-11,69,"Richmond","4"
727849,2018-12-06,22,"Campbell River","4"
702343,2018-06-26,35,"Calgary","3"
827630,2018-03-14,39,"Vancouver","5"
551067,2015-12-02,26,"Bassano","3"
172717,2018-04-28,21,"Calgary","3"
795796,2019-03-15,48,"Langley","3"
994642,2018-10-18,45,"Calgary","4"
185751,2019-03-24,20,"Campbell River","5"
271312,2017-03-18,45,"Edmonton","5"
647426,2018-04-05,56,"Blackfalds","4"
348834,2018-04-06,48,"Vancouver","4"
481205,2018-12-13,52,"Calgary","4"
735028,2014-07-06,47,"Camrose","4"
781308,2017-12-22,70,"Surrey","4"
677817,2018-07-31,69,"Edmonton","3"
632117,2018-07-28,24,"Drumheller","4"
269186,2016-06-18,60,"Calgary","4"
208776,2015-08-09,39,"Medicine Hat","4"
562029,2018-09-09,27,"Redcliff","5"
575927,2018-06-24,35,"Calgary","4"
861908,2019-03-27,52,"Calgary","4"
79165,2017-05-26,23,"Calgary","4"
116701,2016-01-13,20,"Nanaimo","4"
707382,2014-03-26,51,"Coquitlam","4"
444703,2017-03-29,25,"Edmonton","3"
599422,2015-09-14,55,"Vancouver","3"
999889,2019-04-14,67,"Langford","5"
857255,2018-02-05,39,"Edmonton","5"
195037,2018-05-08,66,"Victoria","5"
835903,2019-03-23,42,"Calgary","4"
490471,2019-03-23,47,"Victoria","4"
174438,2017-09-18,66,"Three Hills","4"
629538,2016-03-27,21,"Edmonton","4"
888469,2017-11-27,27,"Vancouver","4"
965480,2016-01-28,35,"Sylvan Lake","4"
608886,2017-06-22,56,"Richmond","5"
509033,2014-03-25,30,"Ladysmith","5"
969176,2016-07-16,56,"Edmonton","3"
415931,2017-02-28,19,"Calgary","5"
402070,2017-04-29,31,"Vernon","4"
591534,2017-07-12,50,"Medicine Hat","4"
644528,2016-02-25,47,"Surrey","5"
332219,2015-06-06,68,"Chilliwack","3"
47303,2014-07-27,66,"Richmond","2"
940101,2019-06-23,43,"Edmonton","5"
943448,2019-03-22,36,"Vancouver","4"
858114,2017-09-26,30,"Kamloops","4"
872150,2017-12-24,52,"Banff","3"
585363,2016-12-16,57,"Lethbridge","3"
622039,2017-02-07,44,"Calgary","3"
628712,2014-05-16,50,"Vernon","4"
4897,2017-12-21,62,"Airdrie","4"
765526,2015-01-01,70,"Burnaby","4"
924914,2018-05-05,24,"Victoria","5"
375758,2018-04-16,35,"Edmonton","3"
197865,2016-11-29,37,"Athabasca","5"
456417,2016-02-17,26,"Bruderheim","5"
318619,2015-11-02,32,"Calgary","3"
265004,2017-12-24,33,"Vancouver","1"
684395,2017-05-27,19,"Calgary","5"
25076,2017-12-12,27,"Abbotsford","5"
344839,2019-04-29,55,"Edmonton","4"
195074,2018-11-15,69,"Richmond","4"
763337,2016-12-01,52,"Calgary","1"
519063,2018-06-02,51,"Burnaby","5"
606619,2018-08-04,31,"Vancouver","4"
56900,2019-03-10,54,"Richmond","4"
620716,2019-01-01,20,"Victoria","5"
301077,2017-05-10,23,"Edmonton","1"
811815,2018-07-09,29,"Surrey","3"
32186,2016-03-11,54,"Vancouver","4"
253997,2019-05-15,21,"Kelowna","4"
191885,2019-02-26,48,"Edmonton","4"
487360,2018-04-23,26,"Calgary","5"
281135,2016-01-12,40,"Campbell River","3"
669429,2016-05-26,22,"Calgary","4"
266280,2018-12-10,52,"Vancouver","5"
729291,2017-09-06,39,"Vancouver","2"
955826,2017-05-11,67,"Tofield","5"
391375,2015-11-28,41,"Surrey","5"
731990,2017-02-24,67,"Grande Prairie","5"
7764,2016-04-05,47,"Vancouver","5"
335126,2017-04-18,30,"Vancouver","3"
941975,2014-08-06,59,"Victoria","4"
176717,2017-03-19,40,"Calgary","4"
695994,2016-06-12,26,"Calgary","5"
432040,2017-06-10,59,"Calgary","2"
660152,2018-06-17,33,"Vancouver","5"
353961,2018-04-01,21,"Edmonton","3"
544380,2017-11-30,45,"Coaldale","5"
113211,2018-07-22,61,"Edmonton","4"
151903,2016-12-12,53,"Lethbridge","4"
326262,2017-11-03,44,"Cochrane","3"
930857,2018-11-06,23,"Abbotsford","5"
828283,2014-02-10,30,"Kimberley","4"
831377,2017-01-18,43,"Edmonton","4"
839026,2018-09-26,41,"Leduc","4"
436108,2019-06-06,35,"Calgary","5"
4108,2016-11-21,54,"Revelstoke","2"
636859,2017-01-07,39,"Burnaby","2"
841688,2017-09-20,44,"Calgary","4"
295665,2017-06-29,66,"Calgary","3"
495726,2017-10-11,38,"Red Deer","5"
525671,2018-10-10,64,"Richmond","4"
18467,2018-01-27,53,"Edmonton","3"
599104,2015-01-22,56,"Edmonton","5"
191915,2017-02-03,50,"Calgary","5"
14587,2016-09-05,24,"Richmond","5"
700450,2015-04-27,20,"Powell River","5"
490013,2016-10-30,48,"Vancouver","4"
76102,2017-10-27,50,"Vancouver","4"
62119,2018-04-16,62,"Port Moody","4"
451168,2019-07-01,62,"Calgary","4"
134171,2014-12-06,62,"Edmonton","5"
694627,2018-06-02,69,"Coquitlam","2"
158,2017-07-04,55,"Richmond","4"
925643,2019-02-16,24,"Cochrane","4"
750846,2019-01-08,54,"Edmonton","5"
237408,2016-08-10,19,"Richmond","4"
633513,2016-12-09,45,"Edmonton","5"
691165,2019-01-04,56,"Calgary","5"
475440,2014-03-30,64,"Burnaby","5"
414524,2016-04-23,35,"Edmonton","4"
240517,2015-09-07,69,"Surrey","5"
541365,2015-12-25,19,"Richmond","3"
761563,2014-04-26,55,"Lethbridge","2"
286875,2018-02-12,45,"Vancouver","2"
467779,2017-03-10,50,"Calgary","4"
189433,2017-11-08,54,"Kamloops","5"
300661,2016-12-17,58,"Vancouver","5"
33111,2018-06-15,60,"Calgary","4"
357940,2017-09-06,42,"Burnaby","5"
817114,2019-07-15,26,"Chilliwack","5"
288748,2014-07-25,64,"Nanaimo","4"
334968,2019-06-12,64,"Edmonton","5"
441425,2014-08-12,49,"New Westminster","3"
745644,2015-03-09,56,"Dawson Creek","2"
575906,2019-07-10,46,"Surrey","4"
195375,2014-08-25,32,"Surrey","4"
